Section,Programme,English title,Episodes,Latest episode,Plays outside Portugal,Description (PT),Description (EN),Link
Documentaries (Portugal),Soa,It Sounds,5,25 nov. 2021,yes,"Silêncio em Tempos de Crise - Uma crise é um momento decisivo e difícil na sociedade, em que mudanças estruturais se impõem. Muitas das crises qu","Silence in Times of Crisis - A crisis is a decisive and difficult moment in society, when structural changes become unavoidable. Many of the crises that…",https://www.rtp.pt/play/p9402/e581723/soa
Documentaries (Portugal),O Elogio da Luz,In Praise of Light,6,27 out. 2021,yes,"Iluminação Para Aprender - Nos ambientes de ensino, a iluminação deve proporcionar sensação de conforto para que os alunos possam aprender bem. ","Lighting for Learning - In teaching environments, lighting should provide a sense of comfort so that students can learn well.",https://www.rtp.pt/play/p9267/e575555/o-elogio-da-luz
Documentaries (Portugal),Future Makers,Future Makers,1,27 out. 2021,no,"O testemunho real de jovens criativos independentes que vivem em Lisboa. Num cocktail de oportunidades, sorte, esforço e ambição, o documentário d","The real-life testimony of young independent creatives living in Lisbon. In a cocktail of opportunity, luck, effort and ambition, the documentary…",https://www.rtp.pt/play/p9398/e575570/future-makers
Documentaries (Portugal),História do Teatro de Revista em Portugal - A Revista após o 25 de Abril de 1974,History of Revue Theatre in Portugal - The Revue after 25 April 1974,special,23 out. 2021,yes,"A Revista após o 25 de Abril de 1974 - Com liberdade para dizer tudo e com o público dividido pelas suas opções ideológicas e partidárias, tanto","The Revue after 25 April 1974 - With the freedom to say anything and with the audience divided by their ideological and party loyalties, both…",https://www.rtp.pt/play/p9305/e574961/historia-do-teatro-de-revista-em-portugal
Documentaries (Portugal),"Há 100 Anos, A Seara Nova","100 Years Ago, Seara Nova",2,15 out. 2021,no,"Os 2 episódios do documentário 'Há 100 anos, a Seara Nova' traçam o percurso desta 'revista de doutrina e crítica', em que participaram muitos do","The 2 episodes of the documentary '100 Years Ago, Seara Nova' trace the history of this 'magazine of doctrine and criticism', in which many of the…",https://www.rtp.pt/play/p9338/e573341/15-de-outubro-de-1921-ha-100-anos-a-seara-nova
Documentaries (Portugal),Seis Décadas de Televisão (Minidocs),Six Decades of Television (Minidocs),7,03 out. 2021,yes,"Maria Elisa - Nas comemorações dos 60 anos de RTP,figuras marcantes do pequeno ecrã relembram o percurso da estação televisiva de todos os portug","Maria Elisa - For RTP's 60th anniversary celebrations, leading figures of the small screen recall the history of the TV station of all the Portuguese…",https://www.rtp.pt/play/p9099/e571117/seis-decadas-de-televisao-minidocs
Documentaries (Portugal),Na Rota dos Vinhos da Ilha do Pico,On the Wine Route of Pico Island,1,19 set. 2021,yes,Na Rota dos Vinhos da Ilha do Pico pretende promover e divulgar as características únicas que distinguem o Pico de todas as restantes regiões vitiv,On the Wine Route of Pico Island aims to promote and showcase the unique characteristics that set Pico apart from all the other wine-growing regions…,https://www.rtp.pt/play/p9197/e568392/na-rota-dos-vinhos-da-ilha-do-pico
Documentaries (Portugal),Bow,Bow,special,05 set. 2021,no,"Após tempos de isolamento físico e social, chegou a hora de se avançar para o 'novo normal'. Mas como definir este novo normal? O documentário de ","After times of physical and social isolation, the time has come to move towards the 'new normal'. But how do we define this new normal? The documentary by…",https://www.rtp.pt/play/p8795/e565776/bow
Documentaries (Portugal),Começar de Novo,Starting Over,12+,19 jul. 2021,yes,Histórias de refugiados e migrantes de várias nacionalidades obrigados a começar de novo…,Stories of refugees and migrants of various nationalities forced to start over…,https://www.rtp.pt/play/p8940/e558911/comecar-de-novo
Documentaries (Portugal),Sou Autor do Meu Nome - Mia Couto,I Am the Author of My Name - Mia Couto,1,05 jul. 2021,yes,"Documentário de Solveig Nordlund que acompanha, com olhar documental, a vida e obra do escritor moçambicano Mia Couto.","A documentary by Solveig Nordlund that follows, with a documentary eye, the life and work of the Mozambican writer Mia Couto.",https://www.rtp.pt/play/p9043/e555762/sou-autor-do-meu-nome-mia-couto
Documentaries (Portugal),Selvagens,The Savage Islands,1,02 jul. 2021,yes,"A National Geographic Society visitou as Selvagens, ponto mais a sul de Portugal e fez um relatório científico e um documentário da expedição. Mo","The National Geographic Society visited the Savage Islands, Portugal's southernmost point, and produced a scientific report and a documentary of the expedition. Mo…",https://www.rtp.pt/play/p9013/e555225/selvagens
Documentaries (Portugal),Iron Brothers - Irmandade de Ferro,Iron Brothers - Brotherhood of Iron,1,01 jul. 2021,no,"Miguel e Pedro Ferreira Pinto são irmãos e têm sido inseparáveis desde que nasceram, sempre juntos e companheiros estes irmãos nuca deixaram que ","Miguel and Pedro Ferreira Pinto are brothers and have been inseparable since birth; always together, always companions, these brothers never let…",https://www.rtp.pt/play/p8451/e555017/iron-brothers-irmandade-de-ferro
Documentaries (Portugal),O Bairro Português de Malaca,The Portuguese Quarter of Malacca,1,10 jun. 2021,no,Entrevistados:Marina DankerMichael SinghoMartin TheseiraCiprianoNoel Felix,"Interviewees: Marina Danker, Michael Singho, Martin Theseira, Cipriano, Noel Felix",https://www.rtp.pt/play/p8943/e550411/o-bairro-portugues-de-malaca
Documentaries (Portugal),Um Ano de Gorongosa,A Year in Gorongosa,1,25 mai. 2021,yes,'Um Ano de Gorongosa' proporciona aos espectadores um belo safari na espetacular paisagem natural do Parque Nacional da Gorongosa. Com uma mulher loca,'A Year in Gorongosa' takes viewers on a beautiful safari through the spectacular natural landscape of Gorongosa National Park. With a local woman…,https://www.rtp.pt/play/p8433/e546705/um-ano-de-gorongosa
Documentaries (Portugal),Mulheres em Portugal,Women in Portugal,1,24 mai. 2021,yes,"Ser mulher, hoje, em Portugal. Que oportunidades? Que desafios? A RTP e a Fundação Francisco Manuel dos Santos procuram responder a estas questões ",Being a woman in Portugal today. What opportunities? What challenges? RTP and the Francisco Manuel dos Santos Foundation try to answer these questions…,https://www.rtp.pt/play/p8902/e546483/mulheres-em-portugal
Documentaries (Portugal),A Senhora Dona Amélia,The Lady Dona Amélia,1,20 mai. 2021,yes,Amélia Rey Colaço casou-se em dezembro de 1920 com o ator Robles Monteiro. No ano seguinte os dois concorrem ao concurso de concessão do Teatro Nac,Amélia Rey Colaço married the actor Robles Monteiro in December 1920. The following year the two entered the competition for the concession of the National Theatre…,https://www.rtp.pt/play/p8868/e831433/a-senhora-dona-amelia
Documentaries (Portugal),Mulheres na Resistência,Women in the Resistance,4,28 abr. 2021,yes,Gloria Marreiros - O quarto episódio da série 'Mulheres na Resistência' intitulado 'Glória Marreiros' é baseado numa conversa/entrevista realizad,"Glória Marreiros - The fourth episode of the series 'Women in the Resistance', entitled 'Glória Marreiros', is based on a conversation/interview carried out…",https://www.rtp.pt/play/p8770/e540354/mulheres-na-resistencia
Documentaries (Portugal),"Sim, Eu Consigo - Ayham - My New Life","Yes, I Can - Ayham - My New Life",special,25 jan. 2021,no,"Ayham - My New Life - Neste episódio vamos conhecer a história de um jovem refugiado, Ayham, e a sua adaptação à sua nova vida na Suiça. O come","Ayham - My New Life - In this episode we get to know the story of a young refugee, Ayham, and how he adapts to his new life in Switzerland. The beginning…",https://www.rtp.pt/play/p4648/e402423/sim-eu-consigo
Documentaries (Portugal),"Nós, Portugueses - Um Futuro por Desenhar","We, the Portuguese - A Future Yet to Be Drawn",2,11 dez. 2020,yes,A crescente automação que marcará a economia portuguesa nas próximas décadas será uma das principais respostas para a sua baixa produtividade. M,The growing automation that will shape the Portuguese economy in the coming decades will be one of the main answers to its low productivity. M…,https://www.rtp.pt/play/p8072/e866695/nos-portugueses-um-futuro-por-desenhar
Documentaries (Portugal),Fabrico Internacional,International Manufacturing,12+,07 dez. 2020,yes,Um retrato das empresas portuguesas que conquistam os mercados internacionais com os seus produtos e serviços…,A portrait of the Portuguese companies winning over international markets with their products and services…,https://www.rtp.pt/play/p6943/e510749/fabrico-internacional
Documentaries (Portugal),Migradores de Longa Distância: Entre o Tejo e o Ártico,Long-Distance Migrants: Between the Tagus and the Arctic,1,06 dez. 2020,yes,Neste documentário vamos acompanhar a migração dos maçaricos-de-bico-direito entre o estuário do Tejo  e a região sub-ártica da Islândia. E o ,In this documentary we follow the migration of black-tailed godwits between the Tagus estuary and the sub-Arctic region of Iceland. And the…,https://www.rtp.pt/play/p8028/e510618/migradores-de-longa-distancia-entre-portugal-e-o-artico
Documentaries (Portugal),Francisco de Holanda - A Luz Esquecida do Renascimento,Francisco de Holanda - The Forgotten Light of the Renaissance,1,26 out. 2020,yes,"Documentário com a participação de Sylvie Deswarte-Rosa, Joaquim Caetano, Rafael Moreira, Isabel Almeida, Manuel Parada López de Corselas, José C","A documentary featuring Sylvie Deswarte-Rosa, Joaquim Caetano, Rafael Moreira, Isabel Almeida, Manuel Parada López de Corselas, José C…",https://www.rtp.pt/play/p7665/e501718/francisco-de-holanda-a-luz-esquecida-do-renascimento
Documentaries (Portugal),A Escolha Impossível,The Impossible Choice,1,29 ago. 2020,no,"Retrato da comunidade portuguesa na região do Limousin, A Escolha Impossível esforça-se por capturar a variedade e a complexidade das situações, ","A portrait of the Portuguese community in the Limousin region, The Impossible Choice strives to capture the variety and complexity of the situations…",https://www.rtp.pt/play/p7607/e490603/a-escolha-impossivel
Documentaries (Portugal),Hotéis com História,Hotels with History,1,23 ago. 2020,yes,"O Hotel Palácio Estoril foi exílio de muitas famílias reais da Europa durante a Segunda Guerra Mundial, no quadro da neutralidade de Portugal. Loca","The Hotel Palácio Estoril was a place of exile for many of Europe's royal families during the Second World War, against the backdrop of Portugal's neutrality. Located…",https://www.rtp.pt/play/p7594/e890137/hoteis-com-historia
Documentaries (Portugal),Príncipes do Nada,Princes of Nothing,11,18 ago. 2020,yes,"Promover a Cidadania e os Direitos Humanos, sem deixar ninguém para trás…","Promoting citizenship and human rights, leaving no one behind…",https://www.rtp.pt/play/p7360/e489026/principes-do-nada
Documentaries (Portugal),Leva-me Contigo - O Documentário,Take Me With You - The Documentary,1,16 ago. 2020,yes,"Autor de 'O Meu Irmão' (Prémio Leya 2014) e 'Pão de Açúcar' (Prémio José Saramago 2019), Afonso Reis Cabral percorreu os quase 739 quilómetros","Author of 'O Meu Irmão' (Leya Prize 2014) and 'Pão de Açúcar' (José Saramago Prize 2019), Afonso Reis Cabral travelled almost 739 kilometres…",https://www.rtp.pt/play/p7368/e488668/leva-me-contigo-o-documentario
Documentaries (Portugal),Enviado Especial,Special Envoy,1,15 ago. 2020,yes,"A história de vida de Aquino de Bragança, um intelectual e jornalista indiano que teve como objetivo de vida lutar contra o colonialismo e ajudar Go","The life story of Aquino de Bragança, an Indian intellectual and journalist whose life's goal was to fight colonialism and help Goa…",https://www.rtp.pt/play/p6274/e488682/enviado-especial
Documentaries (Portugal),À Procura da Moça Dorita,In Search of Young Dorita,1,16 jul. 2020,yes,"Dorita de Castel-Branco nasceu em Lisboa, a 13 de Setembro de 1936 e faleceu em Setembro de 1996. Em 1962 concluiu o Curso Superior de Escultura da Es",Dorita de Castel-Branco was born in Lisbon on 13 September 1936 and died in September 1996. In 1962 she completed the higher degree in Sculpture at the School…,https://www.rtp.pt/play/p6910/e483849/a-procura-da-moca-dorita
Documentaries (Portugal),Carquejeiras - As Escravas do Porto,Carquejeiras - The Slaves of Porto,1,22 abr. 2020,yes,"Numa época em que a sobrevivência era uma verdadeira luta, mulheres de todas as idades viam-se obrigadas a carregar às costas até 60 quilos de car","At a time when survival was a real struggle, women of all ages were forced to carry up to 60 kilos of…",https://www.rtp.pt/play/p6919/e468482/carquejeiras-as-escravas-do-porto
Documentaries (Portugal),Das Pedras Fez-se Terra: Histórias da Beira Baixa,From Stones Came Land: Stories of Beira Baixa,1,08 abr. 2020,no,"Profundamente marcada pelo diálogo milenar entre água e rocha, a região da Beira Baixa guarda alguns dos tesouros naturais e arqueológicos mais an","Deeply shaped by the age-old dialogue between water and rock, the Beira Baixa region holds some of the oldest natural and archaeological treasures…",https://www.rtp.pt/play/p7056/e465911/das-pedras-fez-se-terra-historias-da-beira-baixa
Documentaries (Portugal),Acima das Nossas Possibilidades,Beyond Our Means,1,02 abr. 2020,no,Este documentário faz parte do trabalho coletivo 'Projecto Troika'.,This documentary is part of the collective work 'Projecto Troika'.,https://www.rtp.pt/play/p7020/e464900/acima-das-nossas-possibilidades
Documentaries (Portugal),"Nós, Portugueses - Nascer Para Não Morrer","We, the Portuguese - Born Not to Die",2,13 fev. 2020,yes,"No cenário de crise demográfica que Portugal começa já a enfrentar, é importante pensar como poderemos fazer face ao decréscimo e envelhecimento","In the demographic crisis that Portugal is already beginning to face, it is important to think about how we can deal with the decline and ageing…",https://www.rtp.pt/play/p6829/e866674/nos-portugueses-nascer-para-nao-morrer
Documentaries (Portugal),Júlio Isidro - 60 Anos de Televisão,Júlio Isidro - 60 Years of Television,1,10 jan. 2020,yes,"Documentário sobre os 60 anos de carreira de Júlio Isidro contados na primeira pessoa, e com depoimentos de José Cid, João David Nunes, Lídia Fra","A documentary about Júlio Isidro's 60-year career, told in the first person, with testimonies from José Cid, João David Nunes, Lídia Fra…",https://www.rtp.pt/play/p6729/e449652/julio-isidro-60-anos-carreira
Documentaries (Portugal),Beautiful Madeira,Beautiful Madeira,1,08 jan. 2020,yes,"A jovem Emily Shore, doente como estava, ficou maravilhada com a beleza natural da Madeira quando desembarcou no Funchal em dezembro de 1838. Pitoresc","Young Emily Shore, ill as she was, was enchanted by Madeira's natural beauty when she landed in Funchal in December 1838. Picturesque…",https://www.rtp.pt/play/p6668/e449448/beautiful-madeira
Documentaries (Portugal),Portugueses pelo Mundo,Portuguese Around the World,12+,07 jan. 2020,yes,"Esta nova série de Portugueses Pelo Mundo mostra Chefs, Taxistas e Músicos portugueses pelo mundo…","This new series of Portugueses Pelo Mundo features Portuguese chefs, taxi drivers and musicians around the world…",https://www.rtp.pt/play/p4677/e448935/portugueses-pelo-mundo
Documentaries (Portugal),A Voz do Operário,The Worker's Voice,1,29 nov. 2019,yes,"Documentário realizado por Miguel Costa, que versa sobre a história da Sociedade de Instrução e Beneficência 'A Voz do Operário' e a sua dimens",A documentary directed by Miguel Costa about the history of the Education and Welfare Society 'A Voz do Operário' and its…,https://www.rtp.pt/play/p6252/e441687/a-voz-do-operario
Documentaries (Portugal),Ole António Ole,Ole António Ole,2,23 out. 2019,no,"Documentário do cineasta português Rui Simões, sobre a vida e a obra de António Ole, um dos mais importantes artistas plásticos angolanos de arte","A documentary by Portuguese filmmaker Rui Simões about the life and work of António Ole, one of the most important Angolan visual artists of…",https://www.rtp.pt/play/p6110/e434658/ole-antonio-ole
Documentaries (Portugal),Cesina Bermudes - Uma Vida Só Não Basta,Cesina Bermudes - One Life Is Not Enough,1,04 jul. 2019,yes,"Nascida em 1908, Cesina Bermudes cedo se destacou pela postura irreverente e pelos valores éticos. Médica obstetra, teve um importante percurso cien","Born in 1908, Cesina Bermudes soon stood out for her irreverent attitude and her ethical values. An obstetrician, she had an important scientific…",https://www.rtp.pt/play/p5545/e416416/cesina-bermudes
Documentaries (Portugal),Tarrafal,Tarrafal,1,02 jul. 2019,yes,"Uma viagem intensa pelo passado e pelo futuro do Bairro S. João de Deus, Tarrafal é um documento vivo da história recente da cidade do Porto. ","An intense journey through the past and future of the Bairro S. João de Deus, Tarrafal is a living record of the recent history of the city of Porto.",https://www.rtp.pt/play/p4680/e416019/tarrafal
Documentaries (Portugal),Ilhas da Macaronésia (Madeira e Cabo Verde),Islands of Macaronesia (Madeira and Cape Verde),3,07 jun. 2019,yes,Madeira - II - Biodiversidade; Sobrevivência de algumas espécies endémicas; Proteção do ecossistema; Floresta Laurissilva; Humidade atmosférica;,Madeira - II - Biodiversity; Survival of some endemic species; Ecosystem protection; Laurisilva forest; Atmospheric humidity;…,https://www.rtp.pt/play/p5900/e411490/ilhas-macaronesia-madeira-cabo-verde
Documentaries (Portugal),O Povo Que Ainda Canta,The People Who Still Sing,12+,28 abr. 2019,yes,O Povo Que Ainda Canta é uma série documental sobre musica tradicional e popular da autoria de Tiago Pereira.,"O Povo Que Ainda Canta is a documentary series about traditional and folk music, created by Tiago Pereira.",https://www.rtp.pt/play/p1687/e403769/o-povo-que-ainda-canta
Documentaries (Portugal),À Procura de António Botto,In Search of António Botto,1,19 mar. 2019,yes,"Escritor 'maldito', António Botto criou uma obra considerada controversa. 'Canções', o seu livro mais conhecido, foi editado por Fernando Pessoa, m","A 'cursed' writer, António Botto created a body of work considered controversial. 'Canções', his best-known book, was published by Fernando Pessoa, but…",https://www.rtp.pt/play/p5584/e395853/procura-antonio-botto
Documentaries (Portugal),Palcos Agora - Conhecer a Fundação Eugénio de Almeida em Évora,Stages Now - Discovering the Eugénio de Almeida Foundation in Évora,special,01 fev. 2019,yes,Conhecer a Fundação Eugénio de Almeida em Évora - Esta semana começamos viagem em Évora e damos a conhecer um pouco mais do trabalho que a Funda,Discovering the Eugénio de Almeida Foundation in Évora - This week we begin our journey in Évora and show a little more of the work that the Foundation…,https://www.rtp.pt/play/p1786/e195701/palcos-agora
Documentaries (Portugal),Rosas de Ermera,Roses of Ermera,2,02 set. 2018,no,"'Esta é a história de uma família que teve alguma notoriedade por causa do Zeca Afonso, mas é também um pedaço da nossa história que foi oculta","'This is the story of a family that gained some notoriety because of Zeca Afonso, but it is also a piece of our history that was hidden…",https://www.rtp.pt/play/p4488/e786649/rosas-de-ermera
Documentaries (Portugal),O Arquiteto de Lisboa: Pardal Monteiro,The Architect of Lisbon: Pardal Monteiro,1,18 ago. 2018,yes,"Discípulo de Miguel Ventura Terra, outro importante arquiteto com influência na imagem urbana da capital, Pardal Monteiro foi um dos pioneiros do mo","A disciple of Miguel Ventura Terra, another important architect who influenced the capital's urban image, Pardal Monteiro was one of the pioneers of mo…",https://www.rtp.pt/play/p4533/e868401/o-arquiteto-de-lisboa
Documentaries (Portugal),Mulheres de Abril,Women of April,5,27 abr. 2018,no,"O Novo Milénio - O jantar está quase no fim. Luísa recorda a passagem de ano do milénio, de 1999 para 2000, em casa de Ana, a noite em que Ana con","The New Millennium - Dinner is almost over. Luísa remembers the millennium New Year's Eve, from 1999 to 2000, at Ana's house, the night when Ana…",https://www.rtp.pt/play/p1522/e853506/mulheres-de-abril
Documentaries (Portugal),A Voz e os Ouvidos do MFA,The Voice and Ears of the MFA,1,25 abr. 2018,yes,"Documentário sobre a aquisição de telefones para o Posto de Comando do MFA, assim como a montagem de um cabo de transmissões que teria de ser prol","A documentary about the acquisition of telephones for the MFA Command Post, as well as the installation of a communications cable that would have to be extended…",https://www.rtp.pt/play/p3438/e285510/a-voz-e-os-ouvidos-do-mfa
Documentaries (Portugal),Quando a Tropa Mandou na RTP,When the Army Ran RTP,1,24 abr. 2018,no,Reportagem do jornalista Jacinto Godinho sobre a importância e o papel da RTP nos acontecimentos políticos portugueses na altura da Revolução. A R,A report by journalist Jacinto Godinho on the importance and role of RTP in Portuguese political events at the time of the Revolution. The…,https://www.rtp.pt/play/p3436/e764201/quando-a-tropa-mandou-na-rtp
Documentaries (Portugal),O Papa Que Veio do Sul,The Pope Who Came from the South,1,08 mai. 2017,yes,"Ficamos a saber que o Papa Francisco quando vivia na Argentina só viajava em transportes públicos, não via televisão e adorava ouvir música clás","We learn that Pope Francis, when he lived in Argentina, only travelled by public transport, did not watch television and loved listening to classical…",https://www.rtp.pt/play/p3477/e844942/o-papa-que-veio-do-sul
Documentaries (Portugal),Camilo de Oliveira,Camilo de Oliveira,1,04 jul. 2016,yes,"Popular, versátil, carismático, Camilo de Oliveira é uma referência na história da comédia e do teatro de variedades em Portugal. ","Popular, versatile, charismatic, Camilo de Oliveira is a landmark in the history of comedy and variety theatre in Portugal.",https://www.rtp.pt/play/p2576/e866615/camilo-de-oliveira
Documentaries (Portugal),Love Me Love Me Not,Love Me Love Me Not,1,19 nov. 2015,yes,"Documentário sobre a exposição de arte contemporânea africana de Sindika, na Galeria Municipal Almeida Garrett no Porto, com participação especi","A documentary about Sindika's exhibition of contemporary African art at the Galeria Municipal Almeida Garrett in Porto, with the special participation…",https://www.rtp.pt/play/p2148/e214356/love-me-love-me-not
Documentaries (Portugal),Parque da Pena,Pena Park,1,14 nov. 2015,yes,"O parque da Pena, é uma viagem pelo imaginário romântico da zona de Sintra. Através da figura do criador do parque e palácio da pena, D. Fernando","Pena Park is a journey through the Romantic imagination of the Sintra area. Through the figure of the creator of the Pena park and palace, King Fernando…",https://www.rtp.pt/play/p2130/e213673/parque-da-pena
Documentaries (Portugal),Show Me Lisbon,Show Me Lisbon,1,01 nov. 2015,yes,"O documentário 'Show me Lisbon' apresenta Lisboa segundo a perspetiva de um grupo de conterrâneos e de apaixonados por Lisboa, de áreas diferentes ",The documentary 'Show me Lisbon' presents Lisbon from the perspective of a group of locals and Lisbon lovers from different fields…,https://www.rtp.pt/play/p2095/e211926/show-me-lisbon
Documentaries (Portugal),Eunice Muñoz - Eu de Eunice,Eunice Muñoz - The 'Me' in Eunice,1,13 set. 2015,yes,11550024004,11550024004,https://www.rtp.pt/play/p15349/e866614/eunice-munoz-eu-de-eunice
Documentaries (Portugal),Mundo dos Sentidos,World of the Senses,6,05 set. 2015,yes,Intuir - A intuição é um processo inconsciente que leva o ser humano a conclusões. Ela permite a aquisição de conhecimentos e a ação sem inter,Intuiting - Intuition is an unconscious process that leads human beings to conclusions. It allows knowledge to be acquired and action to be taken without…,https://www.rtp.pt/play/p1948/e205711/mundo-dos-sentidos
Documentaries (Portugal),"Água Vai, Pedra Leva","Water Goes, Stone Carries",2,14 jul. 2015,yes,A história das levadas confunde-se com o próprio povoamento da ilha da Madeira. Desde cedo os colonos constataram que o sul da ilha era mais fértil,"The history of the levadas is intertwined with the settlement of the island of Madeira itself. Early on, the settlers realised that the south of the island was more fertile…",https://www.rtp.pt/play/p1926/e201634/agua-vai-pedra-leva
Documentaries (Portugal),A Casa e a Cidade,The House and the City,6,06 mar. 2011,yes,A Cidade depois da Cidade - Este episódio aborda a evolução do espaço urbano português após a instauração do regime democrático em 25 de Abri,The City after the City - This episode looks at the evolution of Portuguese urban space after the establishment of the democratic regime on 25 April…,https://www.rtp.pt/play/p660/e938750/a-casa-e-a-cidade
Portuguese films,Central do Brasil,Central Station,film,06 set. 2026,no,"Um dos maiores sucessos do cinema brasileiro, conquistou mais de 50 prémios internacionais incluindo o Urso de Ouro no Festival de Berlim, Globo de O","One of the biggest successes of Brazilian cinema, it won more than 50 international awards, including the Golden Bear at the Berlin Festival, the Golden Globe…",https://www.rtp.pt/play/p5725/e952039/central-do-brasil
Portuguese films,Vencidos da Vida,Defeated by Life,film,26 ago. 2026,no,Num velho cinema decrépito surgem várias histórias como fantasmas. Uma compilação de filmes de vários formatos projeta múltiplas versões de pe,"In an old, decrepit cinema, various stories appear like ghosts. A compilation of films in various formats projects multiple versions of…",https://www.rtp.pt/play/p11595/e950260/vencidos-da-vida
Portuguese films,Verão Danado,Damned Summer,film,23 ago. 2026,no,"O Verão de Chico (Pedro Marujo) começa na terra dos avós, debaixo dos limoeiros, no escape da atmosfera da infância. Mas o seu lugar é na capital","Chico's (Pedro Marujo) summer begins in his grandparents' home village, under the lemon trees, escaping into the atmosphere of childhood. But his place is in the capital…",https://www.rtp.pt/play/p6127/e948467/vera-danado
Portuguese films,Pê,Pê,film,09 ago. 2026,no,"Pê, um homem com um cancro terminal, atravessa a sua cidade, Lisboa. Ao longo do dia, confronta-se com uma realidade quotidiana alheia ao seu sofrime","Pê, a man with terminal cancer, walks across his city, Lisbon. Throughout the day, he is confronted with an everyday reality indifferent to his suffering…",https://www.rtp.pt/play/p13120/e947538/pe
Portuguese films,Correr o Fado,Chasing Fate,film,27 jul. 2026,yes,"Felisberto, caixeiro viajante, chega à aldeia de Luzim, junto ao rio Tâmega, região de monumentos megalíticos, pinturas rupestres e castros. Aí d","Felisberto, a travelling salesman, arrives in the village of Luzim, by the river Tâmega, a region of megalithic monuments, rock paintings and hill forts. There…",https://www.rtp.pt/play/p16978/e945066/correr-o-fado
Portuguese films,O Teu Rosto Será o Último,Your Face Will Be the Last,film,21 jul. 2026,no,"A história de uma família portuguesa que conheceu a ditadura, a guerra colonial e a revolução democrática - os fios improváveis e surpreendentes","The story of a Portuguese family that lived through the dictatorship, the colonial war and the democratic revolution - the unlikely and surprising threads…",https://www.rtp.pt/play/p16957/e943936/o-teu-rosto-sera-o-ultimo
Portuguese films,Pedro e Inês,Pedro and Inês,film,28 mai. 2026,no,"Inspirado na lenda de Pedro e Inês, o filme conta a história de Pedro, um homem internado num hospital psiquiátrico por viajar de carro com o cadá","Inspired by the legend of Pedro and Inês, the film tells the story of Pedro, a man admitted to a psychiatric hospital for driving around with the body…",https://www.rtp.pt/play/p7347/e932548/pedro-e-ines
Portuguese films,O Ego de Egas,The Ego of Egas,film,22 abr. 2026,no,"Já passava dos 50 anos, quando o médico Egas Moniz, conceituado professor no Hospital de Santa Marta em Lisboa e responsável pelo departamento de n","He was already over 50 when the doctor Egas Moniz, a renowned professor at Santa Marta Hospital in Lisbon and head of the department of…",https://www.rtp.pt/play/p8208/e919390/o-ego-de-egas
Portuguese films,O Protagonista,The Protagonist,film,19 abr. 2026,no,"Com 'Dom Quixote' de Cervantes como pano de fundo, a história passa-se nos bastidores de um teatro e concentra-se na rotina de um jovem ator (pratica","With Cervantes' 'Don Quixote' as a backdrop, the story takes place backstage at a theatre and focuses on the routine of a young actor (practically…",https://www.rtp.pt/play/p8776/e923342/o-protagonista
Portuguese films,Nunca Nada Aconteceu,Nothing Ever Happened,film,06 abr. 2026,no,"Um bairro nos subúrbios de Lisboa. Filas de edifícios, luzes fracas, ninguém consegue dormir. Três adolescentes - Pedro, Maria e Paulo ? estão no","A neighbourhood in the suburbs of Lisbon. Rows of buildings, dim lights, no one can sleep. Three teenagers - Pedro, Maria and Paulo - are in…",https://www.rtp.pt/play/p12558/e891784/nunca-nada-aconteceu
Portuguese films,A Impossibilidade de Estar Só,The Impossibility of Being Alone,film,17 fev. 2026,no,"Devido a uma imunodeficiência grave, Alice, de 20 anos, está impedida de sair de casa. A sua vida reduz-me às quatro paredes da habitação e a um ","Due to a severe immunodeficiency, 20-year-old Alice is unable to leave her house. Her life is reduced to the four walls of her home and a…",https://www.rtp.pt/play/p9064/e909441/a-impossibilidade-de-estar-so
Portuguese films,Uma Vida à Espera,A Life of Waiting,film,20 jan. 2026,no,'Uma Vida à Espera' é a história dum homem. Ou dois. Um pai que sai de casa apenas levando a caixa do correio consigo e uma mala. Senta-se numas es,'Uma Vida à Espera' is the story of a man. Or two. A father who leaves home taking only the mailbox and a suitcase with him. He sits on some st…,https://www.rtp.pt/play/p8807/e903357/uma-vida-a-espera
Portuguese films,Idade da Pedra,Stone Age,film,27 dez. 2025,yes,"A trama decorre num Portugal pré-histórico onde Faz-Coisas é um inventor incompreendido a quem nem a sua mulher Manda-Vir, nem a sua tribo de norte","The plot takes place in a prehistoric Portugal where Faz-Coisas ('Makes-Things') is a misunderstood inventor whom neither his wife Manda-Vir, nor his tribe of northerners…",https://www.rtp.pt/play/p15991/e898680/idade-da-pedra
Portuguese films,A Sibila,The Sibyl,film,17 dez. 2025,no,"Adaptação do romance homónimo de Agustina Bessa-Luís que retrata a relação entre uma jovem escritora e a sua tia, personagens vibrantes inspirad","An adaptation of Agustina Bessa-Luís's novel of the same name, portraying the relationship between a young writer and her aunt, vibrant characters inspired…",https://www.rtp.pt/play/p15954/e896487/a-sibila
Portuguese films,A Minha Casinha,My Little Home,film,21 out. 2025,no,A história de uma família portuguesa cuja vida é virada do avesso quando o filho decide emigrar para estudar em Londres. Uma comédia dramática co,The story of a Portuguese family whose life is turned upside down when their son decides to emigrate to study in London. A comedy-drama…,https://www.rtp.pt/play/p15725/e883587/a-minha-casinha
